rocket_id,group_type,td,keff,Iyy,best_Kp_exp1,lat_natural,wind_natural,wind,latency,Kp,sr
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.12,6,320,0.7142857142857143
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.22,1,1,0.42857142857142855
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.22,1,2,0.2857142857142857
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.22,1,3,0.42857142857142855
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.22,1,5,0.7142857142857143
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.22,1,8,0.5714285714285714
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.22,1,12,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.22,1,18,0.8571428571428571
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.22,1,27,0.8571428571428571
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.22,1,40,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.22,1,60,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.22,1,90,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.22,1,130,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.22,1,190,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.22,1,270,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.22,1,320,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.22,3,1,0.42857142857142855
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.22,3,2,0.7142857142857143
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.22,3,3,0.5714285714285714
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.22,3,5,0.7142857142857143
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.22,3,8,0.7142857142857143
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.22,3,12,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.22,3,18,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.22,3,27,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.22,3,40,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.22,3,60,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.22,3,90,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.22,3,130,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.22,3,190,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.22,3,270,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.22,3,320,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.22,6,1,0.42857142857142855
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.22,6,2,0.5714285714285714
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.22,6,3,0.42857142857142855
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.22,6,5,0.7142857142857143
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.22,6,8,0.8571428571428571
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.22,6,12,0.7142857142857143
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.22,6,18,0.7142857142857143
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.22,6,27,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.22,6,40,0.7142857142857143
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.22,6,60,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.22,6,90,0.8571428571428571
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.22,6,130,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.22,6,190,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.22,6,270,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.22,6,320,0.5714285714285714
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.32,1,1,0.42857142857142855
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.32,1,2,0.42857142857142855
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.32,1,3,0.42857142857142855
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.32,1,5,0.5714285714285714
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.32,1,8,0.5714285714285714
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.32,1,12,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.32,1,18,0.8571428571428571
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.32,1,27,0.8571428571428571
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.32,1,40,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.32,1,60,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.32,1,90,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.32,1,130,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.32,1,190,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.32,1,270,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.32,1,320,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.32,3,1,0.2857142857142857
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.32,3,2,0.42857142857142855
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.32,3,3,0.2857142857142857
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.32,3,5,0.7142857142857143
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.32,3,8,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.32,3,12,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.32,3,18,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.32,3,27,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.32,3,40,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.32,3,60,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.32,3,90,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.32,3,130,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.32,3,190,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.32,3,270,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.32,3,320,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.32,6,1,0.14285714285714285
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.32,6,2,0.5714285714285714
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.32,6,3,0.2857142857142857
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.32,6,5,0.42857142857142855
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.32,6,8,0.7142857142857143
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.32,6,12,0.7142857142857143
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.32,6,18,0.8571428571428571
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.32,6,27,0.8571428571428571
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.32,6,40,0.7142857142857143
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.32,6,60,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.32,6,90,0.8571428571428571
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.32,6,130,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.32,6,190,0.8571428571428571
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.32,6,270,0.8571428571428571
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.32,6,320,0.8571428571428571
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.42,1,1,0.42857142857142855
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.42,1,2,0.7142857142857143
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.42,1,3,0.2857142857142857
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.42,1,5,0.42857142857142855
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.42,1,8,0.5714285714285714
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.42,1,12,0.7142857142857143
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.42,1,18,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.42,1,27,0.8571428571428571
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.42,1,40,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.42,1,60,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.42,1,90,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.42,1,130,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.42,1,190,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.42,1,270,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.42,1,320,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.42,3,1,0.7142857142857143
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.42,3,2,0.5714285714285714
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.42,3,3,0.5714285714285714
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.42,3,5,0.8571428571428571
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.42,3,8,0.8571428571428571
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.42,3,12,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.42,3,18,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.42,3,27,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.42,3,40,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.42,3,60,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.42,3,90,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.42,3,130,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.42,3,190,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.42,3,270,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.42,3,320,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.42,6,1,0.42857142857142855
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.42,6,2,0.14285714285714285
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.42,6,3,0.5714285714285714
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.42,6,5,0.42857142857142855
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.42,6,8,0.7142857142857143
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.42,6,12,0.7142857142857143
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.42,6,18,0.8571428571428571
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.42,6,27,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.42,6,40,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.42,6,60,0.8571428571428571
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.42,6,90,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.42,6,130,1.0
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.42,6,190,0.7142857142857143
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.42,6,270,0.7142857142857143
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.42,6,320,0.5714285714285714
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.05,1,1,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.05,1,2,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.05,1,3,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.05,1,5,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.05,1,8,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.05,1,12,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.05,1,18,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.05,1,27,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.05,1,40,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.05,1,60,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.05,1,90,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.05,1,130,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.05,1,190,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.05,1,270,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.05,1,320,0.7142857142857143
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.05,3,1,0.8571428571428571
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.05,3,2,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.05,3,3,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.05,3,5,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.05,3,8,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.05,3,12,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.05,3,18,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.05,3,27,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.05,3,40,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.05,3,60,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.05,3,90,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.05,3,130,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.05,3,190,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.05,3,270,0.7142857142857143
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.05,3,320,0.5714285714285714
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.05,6,1,0.8571428571428571
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.05,6,2,0.7142857142857143
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.05,6,3,0.8571428571428571
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.05,6,5,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.05,6,8,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.05,6,12,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.05,6,18,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.05,6,27,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.05,6,40,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.05,6,60,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.05,6,90,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.05,6,130,0.7142857142857143
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.05,6,190,0.42857142857142855
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.05,6,270,0.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.05,6,320,0.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.12,1,1,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.12,1,2,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.12,1,3,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.12,1,5,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.12,1,8,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.12,1,12,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.12,1,18,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.12,1,27,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.12,1,40,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.12,1,60,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.12,1,90,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.12,1,130,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.12,1,190,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.12,1,270,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.12,1,320,0.5714285714285714
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.12,3,1,0.8571428571428571
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.12,3,2,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.12,3,3,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.12,3,5,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.12,3,8,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.12,3,12,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.12,3,18,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.12,3,27,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.12,3,40,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.12,3,60,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.12,3,90,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.12,3,130,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.12,3,190,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.12,3,270,0.7142857142857143
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.12,3,320,0.5714285714285714
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.12,6,1,0.8571428571428571
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.12,6,2,0.8571428571428571
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.12,6,3,0.8571428571428571
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.12,6,5,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.12,6,8,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.12,6,12,1.0
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.12,6,18,1.0
