rocket_id,s,Kp,sr
R0709,0.15,335.0093751754795,0.3333333333333333
R0709,0.15,500.0,0.08333333333333333
R0709,0.08,0.05,0.3333333333333333
R0709,0.08,0.07462477725259145,0.3333333333333333
R0709,0.08,0.11137714759997785,0.3333333333333333
R0709,0.08,0.166229896613547,0.3333333333333333
R0709,0.08,0.24809738015014512,0.3333333333333333
R0709,0.08,0.37028423461312177,0.3333333333333333
R0709,0.08,0.5526475705630107,0.3333333333333333
R0709,0.08,0.8248240370490102,0.3333333333333333
R0709,0.08,1.2310462007473126,0.4166666666666667
R0709,0.08,1.8373309703683438,0.6666666666666666
R0709,0.08,2.7422082880605085,0.8333333333333334
R0709,0.08,4.092733653534514,0.9166666666666666
R0709,0.08,6.108386744983958,0.9166666666666666
R0709,0.08,9.116740004342201,0.9166666666666666
R0709,0.08,13.606693841876542,0.9166666666666666
R0709,0.08,20.307929941884897,1.0
R0709,0.08,30.309494967487858,1.0
R0709,0.08,45.23678621174646,1.0
R0709,0.08,67.5157018934936,0.9166666666666666
R0709,0.08,100.76688429708665,1.0
R0709,0.08,150.3941259021549,0.75
R0709,0.08,224.46256291093013,0.4166666666666667
R0709,0.08,335.0093751754795,0.16666666666666666
R0709,0.08,500.0,0.08333333333333333
R2106,1.0,0.05,0.08333333333333333
R2106,1.0,0.07462477725259145,0.08333333333333333
R2106,1.0,0.11137714759997785,0.08333333333333333
R2106,1.0,0.166229896613547,0.08333333333333333
R2106,1.0,0.24809738015014512,0.0
R2106,1.0,0.37028423461312177,0.08333333333333333
R2106,1.0,0.5526475705630107,0.16666666666666666
R2106,1.0,0.8248240370490102,0.25
R2106,1.0,1.2310462007473126,0.3333333333333333
R2106,1.0,1.8373309703683438,0.5833333333333334
R2106,1.0,2.7422082880605085,0.6666666666666666
R2106,1.0,4.092733653534514,0.8333333333333334
R2106,1.0,6.108386744983958,1.0
R2106,1.0,9.116740004342201,1.0
R2106,1.0,13.606693841876542,1.0
R2106,1.0,20.307929941884897,1.0
R2106,1.0,30.309494967487858,1.0
R2106,1.0,45.23678621174646,0.8333333333333334
R2106,1.0,67.5157018934936,0.25
R2106,1.0,100.76688429708665,0.0
R2106,1.0,150.3941259021549,0.0
R2106,1.0,224.46256291093013,0.0
R2106,1.0,335.0093751754795,0.0
R2106,1.0,500.0,0.0
R2106,0.7,0.05,0.16666666666666666
R2106,0.7,0.07462477725259145,0.25
R2106,0.7,0.11137714759997785,0.16666666666666666
R2106,0.7,0.166229896613547,0.16666666666666666
R2106,0.7,0.24809738015014512,0.25
R2106,0.7,0.37028423461312177,0.25
R2106,0.7,0.5526475705630107,0.25
R2106,0.7,0.8248240370490102,0.6666666666666666
R2106,0.7,1.2310462007473126,0.75
R2106,0.7,1.8373309703683438,0.5833333333333334
R2106,0.7,2.7422082880605085,0.9166666666666666
R2106,0.7,4.092733653534514,1.0
R2106,0.7,6.108386744983958,1.0
R2106,0.7,9.116740004342201,1.0
R2106,0.7,13.606693841876542,1.0
R2106,0.7,20.307929941884897,1.0
R2106,0.7,30.309494967487858,1.0
R2106,0.7,45.23678621174646,1.0
R2106,0.7,67.5157018934936,0.75
R2106,0.7,100.76688429708665,0.08333333333333333
R2106,0.7,150.3941259021549,0.0
R2106,0.7,224.46256291093013,0.0
R2106,0.7,335.0093751754795,0.0
R2106,0.7,500.0,0.0
R2106,0.5,0.05,0.0
R2106,0.5,0.07462477725259145,0.0
R2106,0.5,0.11137714759997785,0.0
R2106,0.5,0.166229896613547,0.0
R2106,0.5,0.24809738015014512,0.0
R2106,0.5,0.37028423461312177,0.0
R2106,0.5,0.5526475705630107,0.0
R2106,0.5,0.8248240370490102,0.16666666666666666
R2106,0.5,1.2310462007473126,0.16666666666666666
R2106,0.5,1.8373309703683438,0.3333333333333333
R2106,0.5,2.7422082880605085,0.5833333333333334
R2106,0.5,4.092733653534514,0.9166666666666666
R2106,0.5,6.108386744983958,0.8333333333333334
R2106,0.5,9.116740004342201,0.9166666666666666
R2106,0.5,13.606693841876542,1.0
R2106,0.5,20.307929941884897,0.9166666666666666
R2106,0.5,30.309494967487858,1.0
R2106,0.5,45.23678621174646,1.0
R2106,0.5,67.5157018934936,0.9166666666666666
R2106,0.5,100.76688429708665,0.5833333333333334
R2106,0.5,150.3941259021549,0.0
R2106,0.5,224.46256291093013,0.0
R2106,0.5,335.0093751754795,0.0
R2106,0.5,500.0,0.0
R2106,0.35,0.05,0.08333333333333333
R2106,0.35,0.07462477725259145,0.08333333333333333
R2106,0.35,0.11137714759997785,0.08333333333333333
R2106,0.35,0.166229896613547,0.08333333333333333
R2106,0.35,0.24809738015014512,0.0
R2106,0.35,0.37028423461312177,0.08333333333333333
R2106,0.35,0.5526475705630107,0.08333333333333333
R2106,0.35,0.8248240370490102,0.16666666666666666
R2106,0.35,1.2310462007473126,0.16666666666666666
R2106,0.35,1.8373309703683438,0.16666666666666666
R2106,0.35,2.7422082880605085,0.25
R2106,0.35,4.092733653534514,0.3333333333333333
R2106,0.35,6.108386744983958,0.3333333333333333
R2106,0.35,9.116740004342201,0.4166666666666667
R2106,0.35,13.606693841876542,0.8333333333333334
R2106,0.35,20.307929941884897,1.0
R2106,0.35,30.309494967487858,1.0
R2106,0.35,45.23678621174646,1.0
R2106,0.35,67.5157018934936,1.0
R2106,0.35,100.76688429708665,0.8333333333333334
R2106,0.35,150.3941259021549,0.6666666666666666
R2106,0.35,224.46256291093013,0.16666666666666666
R2106,0.35,335.0093751754795,0.08333333333333333
R2106,0.35,500.0,0.0
R2106,0.25,0.05,0.3333333333333333
R2106,0.25,0.07462477725259145,0.3333333333333333
R2106,0.25,0.11137714759997785,0.3333333333333333
R2106,0.25,0.166229896613547,0.25
R2106,0.25,0.24809738015014512,0.3333333333333333
R2106,0.25,0.37028423461312177,0.25
R2106,0.25,0.5526475705630107,0.25
R2106,0.25,0.8248240370490102,0.3333333333333333
R2106,0.25,1.2310462007473126,0.4166666666666667
R2106,0.25,1.8373309703683438,0.5
R2106,0.25,2.7422082880605085,0.5
R2106,0.25,4.092733653534514,0.5
R2106,0.25,6.108386744983958,0.5
R2106,0.25,9.116740004342201,0.9166666666666666
R2106,0.25,13.606693841876542,1.0
R2106,0.25,20.307929941884897,1.0
R2106,0.25,30.309494967487858,1.0
R2106,0.25,45.23678621174646,1.0
R2106,0.25,67.5157018934936,1.0
R2106,0.25,100.76688429708665,1.0
R2106,0.25,150.3941259021549,0.75
R2106,0.25,224.46256291093013,0.5
R2106,0.25,335.0093751754795,0.16666666666666666
R2106,0.25,500.0,0.0
R2106,0.15,0.05,0.25
R2106,0.15,0.07462477725259145,0.25
R2106,0.15,0.11137714759997785,0.16666666666666666
R2106,0.15,0.166229896613547,0.16666666666666666
R2106,0.15,0.24809738015014512,0.25
R2106,0.15,0.37028423461312177,0.25
R2106,0.15,0.5526475705630107,0.25
R2106,0.15,0.8248240370490102,0.3333333333333333
R2106,0.15,1.2310462007473126,0.3333333333333333
R2106,0.15,1.8373309703683438,0.25
R2106,0.15,2.7422082880605085,0.16666666666666666
R2106,0.15,4.092733653534514,0.4166666666666667
R2106,0.15,6.108386744983958,0.5833333333333334
R2106,0.15,9.116740004342201,0.75
R2106,0.15,13.606693841876542,0.6666666666666666
R2106,0.15,20.307929941884897,0.9166666666666666
R2106,0.15,30.309494967487858,0.75
R2106,0.15,45.23678621174646,1.0
R2106,0.15,67.5157018934936,1.0
R2106,0.15,100.76688429708665,0.8333333333333334
R2106,0.15,150.3941259021549,1.0
R2106,0.15,224.46256291093013,0.75
R2106,0.15,335.0093751754795,0.5
R2106,0.15,500.0,0.08333333333333333
R2106,0.08,0.05,0.16666666666666666
R2106,0.08,0.07462477725259145,0.16666666666666666
R2106,0.08,0.11137714759997785,0.16666666666666666
R2106,0.08,0.166229896613547,0.16666666666666666
R2106,0.08,0.24809738015014512,0.16666666666666666
R2106,0.08,0.37028423461312177,0.08333333333333333
R2106,0.08,0.5526475705630107,0.08333333333333333
R2106,0.08,0.8248240370490102,0.08333333333333333
R2106,0.08,1.2310462007473126,0.08333333333333333
R2106,0.08,1.8373309703683438,0.08333333333333333
R2106,0.08,2.7422082880605085,0.08333333333333333
R2106,0.08,4.092733653534514,0.08333333333333333
R2106,0.08,6.108386744983958,0.16666666666666666
R2106,0.08,9.116740004342201,0.25
R2106,0.08,13.606693841876542,0.5
R2106,0.08,20.307929941884897,0.5833333333333334
R2106,0.08,30.309494967487858,0.4166666666666667
R2106,0.08,45.23678621174646,0.5
R2106,0.08,67.5157018934936,0.6666666666666666
R2106,0.08,100.76688429708665,0.6666666666666666
R2106,0.08,150.3941259021549,0.5
R2106,0.08,224.46256291093013,0.5
R2106,0.08,335.0093751754795,0.3333333333333333
R2106,0.08,500.0,0.25
R0522,1.0,0.05,0.5
R0522,1.0,0.07462477725259145,0.5833333333333334
R0522,1.0,0.11137714759997785,0.5833333333333334
R0522,1.0,0.166229896613547,0.6666666666666666
R0522,1.0,0.24809738015014512,0.75
R0522,1.0,0.37028423461312177,0.9166666666666666
R0522,1.0,0.5526475705630107,0.9166666666666666
R0522,1.0,0.8248240370490102,1.0
R0522,1.0,1.2310462007473126,1.0
R0522,1.0,1.8373309703683438,1.0
R0522,1.0,2.7422082880605085,1.0
R0522,1.0,4.092733653534514,1.0
R0522,1.0,6.108386744983958,1.0
R0522,1.0,9.116740004342201,1.0
R0522,1.0,13.606693841876542,1.0
R0522,1.0,20.307929941884897,1.0
R0522,1.0,30.309494967487858,1.0
R0522,1.0,45.23678621174646,1.0
R0522,1.0,67.5157018934936,1.0
R0522,1.0,100.76688429708665,1.0
R0522,1.0,150.3941259021549,1.0
R0522,1.0,224.46256291093013,1.0
R0522,1.0,335.0093751754795,1.0
R0522,1.0,500.0,1.0
R0522,0.7,0.05,0.6666666666666666
R0522,0.7,0.07462477725259145,0.6666666666666666
R0522,0.7,0.11137714759997785,0.6666666666666666
R0522,0.7,0.166229896613547,0.75
R0522,0.7,0.24809738015014512,0.75
R0522,0.7,0.37028423461312177,0.8333333333333334
R0522,0.7,0.5526475705630107,0.9166666666666666
R0522,0.7,0.8248240370490102,1.0
R0522,0.7,1.2310462007473126,1.0
R0522,0.7,1.8373309703683438,1.0
R0522,0.7,2.7422082880605085,1.0
R0522,0.7,4.092733653534514,1.0
R0522,0.7,6.108386744983958,1.0
R0522,0.7,9.116740004342201,1.0
R0522,0.7,13.606693841876542,1.0
R0522,0.7,20.307929941884897,1.0
R0522,0.7,30.309494967487858,1.0
R0522,0.7,45.23678621174646,1.0
R0522,0.7,67.5157018934936,1.0
R0522,0.7,100.76688429708665,1.0
R0522,0.7,150.3941259021549,1.0
R0522,0.7,224.46256291093013,1.0
R0522,0.7,335.0093751754795,1.0
R0522,0.7,500.0,1.0
R0522,0.5,0.05,0.5
R0522,0.5,0.07462477725259145,0.5
R0522,0.5,0.11137714759997785,0.5
R0522,0.5,0.166229896613547,0.5
R0522,0.5,0.24809738015014512,0.5833333333333334
R0522,0.5,0.37028423461312177,0.75
R0522,0.5,0.5526475705630107,0.75
R0522,0.5,0.8248240370490102,1.0
R0522,0.5,1.2310462007473126,0.9166666666666666
R0522,0.5,1.8373309703683438,1.0
R0522,0.5,2.7422082880605085,1.0
R0522,0.5,4.092733653534514,1.0
R0522,0.5,6.108386744983958,1.0
R0522,0.5,9.116740004342201,1.0
R0522,0.5,13.606693841876542,1.0
R0522,0.5,20.307929941884897,1.0
R0522,0.5,30.309494967487858,1.0
R0522,0.5,45.23678621174646,1.0
R0522,0.5,67.5157018934936,1.0
R0522,0.5,100.76688429708665,1.0
R0522,0.5,150.3941259021549,1.0
R0522,0.5,224.46256291093013,1.0
R0522,0.5,335.0093751754795,1.0
R0522,0.5,500.0,0.5
R0522,0.35,0.05,0.3333333333333333
R0522,0.35,0.07462477725259145,0.3333333333333333
R0522,0.35,0.11137714759997785,0.4166666666666667
R0522,0.35,0.166229896613547,0.4166666666666667
R0522,0.35,0.24809738015014512,0.4166666666666667
R0522,0.35,0.37028423461312177,0.5
R0522,0.35,0.5526475705630107,0.5833333333333334
R0522,0.35,0.8248240370490102,0.8333333333333334
R0522,0.35,1.2310462007473126,0.9166666666666666
R0522,0.35,1.8373309703683438,0.9166666666666666
R0522,0.35,2.7422082880605085,0.9166666666666666
R0522,0.35,4.092733653534514,0.9166666666666666
R0522,0.35,6.108386744983958,1.0
R0522,0.35,9.116740004342201,1.0
R0522,0.35,13.606693841876542,1.0
R0522,0.35,20.307929941884897,1.0
R0522,0.35,30.309494967487858,1.0
R0522,0.35,45.23678621174646,1.0
R0522,0.35,67.5157018934936,1.0
R0522,0.35,100.76688429708665,1.0
R0522,0.35,150.3941259021549,1.0
R0522,0.35,224.46256291093013,1.0
R0522,0.35,335.0093751754795,0.5833333333333334
R0522,0.35,500.0,0.08333333333333333
R0522,0.25,0.05,0.4166666666666667
R0522,0.25,0.07462477725259145,0.4166666666666667
R0522,0.25,0.11137714759997785,0.4166666666666667
R0522,0.25,0.166229896613547,0.4166666666666667
R0522,0.25,0.24809738015014512,0.4166666666666667
R0522,0.25,0.37028423461312177,0.5
R0522,0.25,0.5526475705630107,0.5
R0522,0.25,0.8248240370490102,0.5
R0522,0.25,1.2310462007473126,0.75
R0522,0.25,1.8373309703683438,0.9166666666666666
R0522,0.25,2.7422082880605085,0.9166666666666666
R0522,0.25,4.092733653534514,1.0
R0522,0.25,6.108386744983958,0.9166666666666666
R0522,0.25,9.116740004342201,1.0
R0522,0.25,13.606693841876542,1.0
R0522,0.25,20.307929941884897,1.0
R0522,0.25,30.309494967487858,1.0
R0522,0.25,45.23678621174646,1.0
R0522,0.25,67.5157018934936,1.0
R0522,0.25,100.76688429708665,1.0
R0522,0.25,150.3941259021549,1.0
R0522,0.25,224.46256291093013,1.0
R0522,0.25,335.0093751754795,1.0
R0522,0.25,500.0,0.5833333333333334
R0522,0.15,0.05,0.25
R0522,0.15,0.07462477725259145,0.25
R0522,0.15,0.11137714759997785,0.25
R0522,0.15,0.166229896613547,0.25
R0522,0.15,0.24809738015014512,0.25
R0522,0.15,0.37028423461312177,0.25
R0522,0.15,0.5526475705630107,0.4166666666666667
R0522,0.15,0.8248240370490102,0.4166666666666667
R0522,0.15,1.2310462007473126,0.5
R0522,0.15,1.8373309703683438,0.75
R0522,0.15,2.7422082880605085,0.8333333333333334
R0522,0.15,4.092733653534514,0.9166666666666666
R0522,0.15,6.108386744983958,0.9166666666666666
R0522,0.15,9.116740004342201,0.9166666666666666
R0522,0.15,13.606693841876542,1.0
R0522,0.15,20.307929941884897,1.0
R0522,0.15,30.309494967487858,1.0
R0522,0.15,45.23678621174646,1.0
R0522,0.15,67.5157018934936,1.0
R0522,0.15,100.76688429708665,1.0
R0522,0.15,150.3941259021549,1.0
R0522,0.15,224.46256291093013,0.9166666666666666
R0522,0.15,335.0093751754795,0.4166666666666667
R0522,0.15,500.0,0.25
R0522,0.08,0.05,0.08333333333333333
R0522,0.08,0.07462477725259145,0.08333333333333333
R0522,0.08,0.11137714759997785,0.08333333333333333
R0522,0.08,0.166229896613547,0.08333333333333333
R0522,0.08,0.24809738015014512,0.08333333333333333
R0522,0.08,0.37028423461312177,0.08333333333333333
R0522,0.08,0.5526475705630107,0.08333333333333333
R0522,0.08,0.8248240370490102,0.08333333333333333
R0522,0.08,1.2310462007473126,0.08333333333333333
R0522,0.08,1.8373309703683438,0.25
R0522,0.08,2.7422082880605085,0.4166666666666667
R0522,0.08,4.092733653534514,0.5833333333333334
R0522,0.08,6.108386744983958,0.5833333333333334
R0522,0.08,9.116740004342201,0.6666666666666666
R0522,0.08,13.606693841876542,0.9166666666666666
R0522,0.08,20.307929941884897,1.0
R0522,0.08,30.309494967487858,1.0
R0522,0.08,45.23678621174646,0.9166666666666666
R0522,0.08,67.5157018934936,0.9166666666666666
R0522,0.08,100.76688429708665,0.8333333333333334
R0522,0.08,150.3941259021549,0.6666666666666666
R0522,0.08,224.46256291093013,0.6666666666666666
R0522,0.08,335.0093751754795,0.4166666666666667
R0522,0.08,500.0,0.0
R1255,1.0,0.05,1.0
R1255,1.0,0.07462477725259145,1.0
R1255,1.0,0.11137714759997785,1.0
R1255,1.0,0.166229896613547,1.0
R1255,1.0,0.24809738015014512,1.0
R1255,1.0,0.37028423461312177,1.0
R1255,1.0,0.5526475705630107,1.0
R1255,1.0,0.8248240370490102,1.0
R1255,1.0,1.2310462007473126,1.0
R1255,1.0,1.8373309703683438,1.0
R1255,1.0,2.7422082880605085,1.0
R1255,1.0,4.092733653534514,1.0
R1255,1.0,6.108386744983958,1.0
R1255,1.0,9.116740004342201,1.0
R1255,1.0,13.606693841876542,1.0
R1255,1.0,20.307929941884897,1.0
R1255,1.0,30.309494967487858,1.0
R1255,1.0,45.23678621174646,1.0
R1255,1.0,67.5157018934936,1.0
R1255,1.0,100.76688429708665,1.0
R1255,1.0,150.3941259021549,1.0
R1255,1.0,224.46256291093013,0.3333333333333333
R1255,1.0,335.0093751754795,0.0
R1255,1.0,500.0,0.0
R1255,0.7,0.05,1.0
R1255,0.7,0.07462477725259145,1.0
R1255,0.7,0.11137714759997785,1.0
R1255,0.7,0.166229896613547,1.0
R1255,0.7,0.24809738015014512,1.0
R1255,0.7,0.37028423461312177,1.0
R1255,0.7,0.5526475705630107,1.0
R1255,0.7,0.8248240370490102,1.0
R1255,0.7,1.2310462007473126,1.0
R1255,0.7,1.8373309703683438,1.0
R1255,0.7,2.7422082880605085,1.0
R1255,0.7,4.092733653534514,1.0
R1255,0.7,6.108386744983958,1.0
R1255,0.7,9.116740004342201,1.0
R1255,0.7,13.606693841876542,1.0
R1255,0.7,20.307929941884897,1.0
R1255,0.7,30.309494967487858,1.0
R1255,0.7,45.23678621174646,1.0
R1255,0.7,67.5157018934936,1.0
R1255,0.7,100.76688429708665,1.0
R1255,0.7,150.3941259021549,1.0
R1255,0.7,224.46256291093013,1.0
R1255,0.7,335.0093751754795,1.0
R1255,0.7,500.0,1.0
R1255,0.5,0.05,1.0
R1255,0.5,0.07462477725259145,1.0
R1255,0.5,0.11137714759997785,1.0
R1255,0.5,0.166229896613547,1.0
R1255,0.5,0.24809738015014512,1.0
R1255,0.5,0.37028423461312177,1.0
R1255,0.5,0.5526475705630107,1.0
R1255,0.5,0.8248240370490102,1.0
R1255,0.5,1.2310462007473126,1.0
R1255,0.5,1.8373309703683438,1.0
R1255,0.5,2.7422082880605085,1.0
R1255,0.5,4.092733653534514,1.0
R1255,0.5,6.108386744983958,1.0
R1255,0.5,9.116740004342201,1.0
R1255,0.5,13.606693841876542,1.0
R1255,0.5,20.307929941884897,1.0
R1255,0.5,30.309494967487858,1.0
R1255,0.5,45.23678621174646,1.0
R1255,0.5,67.5157018934936,1.0
R1255,0.5,100.76688429708665,1.0
R1255,0.5,150.3941259021549,1.0
R1255,0.5,224.46256291093013,1.0
R1255,0.5,335.0093751754795,1.0
R1255,0.5,500.0,0.5833333333333334
R1255,0.35,0.05,1.0
R1255,0.35,0.07462477725259145,1.0
R1255,0.35,0.11137714759997785,1.0
R1255,0.35,0.166229896613547,1.0
R1255,0.35,0.24809738015014512,1.0
R1255,0.35,0.37028423461312177,1.0
R1255,0.35,0.5526475705630107,1.0
R1255,0.35,0.8248240370490102,1.0
R1255,0.35,1.2310462007473126,1.0
R1255,0.35,1.8373309703683438,1.0
R1255,0.35,2.7422082880605085,1.0
R1255,0.35,4.092733653534514,1.0
R1255,0.35,6.108386744983958,1.0
R1255,0.35,9.116740004342201,1.0
R1255,0.35,13.606693841876542,1.0
R1255,0.35,20.307929941884897,1.0
R1255,0.35,30.309494967487858,1.0
R1255,0.35,45.23678621174646,1.0
R1255,0.35,67.5157018934936,1.0
R1255,0.35,100.76688429708665,1.0
R1255,0.35,150.3941259021549,1.0
R1255,0.35,224.46256291093013,1.0
R1255,0.35,335.0093751754795,0.5
R1255,0.35,500.0,0.0
R1255,0.25,0.05,0.9166666666666666
R1255,0.25,0.07462477725259145,0.9166666666666666
R1255,0.25,0.11137714759997785,1.0
R1255,0.25,0.166229896613547,1.0
R1255,0.25,0.24809738015014512,1.0
R1255,0.25,0.37028423461312177,1.0
R1255,0.25,0.5526475705630107,1.0
R1255,0.25,0.8248240370490102,1.0
R1255,0.25,1.2310462007473126,1.0
R1255,0.25,1.8373309703683438,1.0
R1255,0.25,2.7422082880605085,1.0
R1255,0.25,4.092733653534514,1.0
R1255,0.25,6.108386744983958,1.0
R1255,0.25,9.116740004342201,1.0
R1255,0.25,13.606693841876542,1.0
R1255,0.25,20.307929941884897,1.0
R1255,0.25,30.309494967487858,1.0
R1255,0.25,45.23678621174646,1.0
R1255,0.25,67.5157018934936,1.0
R1255,0.25,100.76688429708665,1.0
R1255,0.25,150.3941259021549,1.0
R1255,0.25,224.46256291093013,1.0
R1255,0.25,335.0093751754795,1.0
R1255,0.25,500.0,1.0
R1255,0.15,0.05,1.0
R1255,0.15,0.07462477725259145,1.0
R1255,0.15,0.11137714759997785,1.0
R1255,0.15,0.166229896613547,1.0
R1255,0.15,0.24809738015014512,1.0
R1255,0.15,0.37028423461312177,1.0
R1255,0.15,0.5526475705630107,1.0
R1255,0.15,0.8248240370490102,1.0
R1255,0.15,1.2310462007473126,1.0
R1255,0.15,1.8373309703683438,1.0
R1255,0.15,2.7422082880605085,1.0
R1255,0.15,4.092733653534514,1.0
R1255,0.15,6.108386744983958,1.0
R1255,0.15,9.116740004342201,1.0
R1255,0.15,13.606693841876542,1.0
R1255,0.15,20.307929941884897,1.0
R1255,0.15,30.309494967487858,1.0
R1255,0.15,45.23678621174646,1.0
R1255,0.15,67.5157018934936,1.0
R1255,0.15,100.76688429708665,1.0
R1255,0.15,150.3941259021549,1.0
R1255,0.15,224.46256291093013,1.0
R1255,0.15,335.0093751754795,1.0
R1255,0.15,500.0,0.5
R1255,0.08,0.05,0.9166666666666666
R1255,0.08,0.07462477725259145,0.9166666666666666
R1255,0.08,0.11137714759997785,0.9166666666666666
R1255,0.08,0.166229896613547,0.9166666666666666
R1255,0.08,0.24809738015014512,0.9166666666666666
R1255,0.08,0.37028423461312177,1.0
R1255,0.08,0.5526475705630107,1.0
R1255,0.08,0.8248240370490102,1.0
R1255,0.08,1.2310462007473126,1.0
R1255,0.08,1.8373309703683438,1.0
R1255,0.08,2.7422082880605085,1.0
R1255,0.08,4.092733653534514,1.0
R1255,0.08,6.108386744983958,1.0
R1255,0.08,9.116740004342201,1.0
R1255,0.08,13.606693841876542,1.0
R1255,0.08,20.307929941884897,1.0
R1255,0.08,30.309494967487858,1.0
R1255,0.08,45.23678621174646,1.0
R1255,0.08,67.5157018934936,1.0
R1255,0.08,100.76688429708665,1.0
R1255,0.08,150.3941259021549,1.0
R1255,0.08,224.46256291093013,0.9166666666666666
R1255,0.08,335.0093751754795,0.5
R1255,0.08,500.0,0.08333333333333333
